order	patch_no	decision	category	sha256	filename	reason
96	564	keep	CVE	00a31b2bdaa88964a63c3c814ba1f0485b87ad029b94c2ba5d59c5ee2525310e	php-7.2-CVE-2024-11234.patch	
97	565	keep	CVE	b3a3f0b3536a437b82edae39206f53e9abc1c23c91dd7c222ef92e3f1d4a32e9	php-8.2-CVE-2024-11233.patch	
98	566	skip	build/packaging	3fa9ab462304d093c126fdadf57ea874ba524e6116dd9ec5861a99bedbfdf2d2	fix-bug-74267.patch	build/packaging glue, not a source security/bug backport
99	567	skip	build/packaging	92a462b202d713d32be6148b9fdaacb3601acd64faa64c24f3b78b586bdc73f8	fix-bug-74960.patch	build/packaging glue, not a source security/bug backport
100	568	keep	CVE	5afe3e5fa5093e61747a83eae871e01d21fa5480d354e18d5ac86f2e42acb995	php-7.3-CVE-2024-11236.patch	
101	569	keep	CVE	829261c4400e1cba6e74d2975a4b1ba8594d5bead8b3b4eafb8c2c97754abb68	php-7.2-CVE-2024-8929.patch	
102	570	keep	CVE	9032b7d5864c05da90174505a5211312ae0ec126ad2808f82dd6faf9b002696b	php-7.2-CVE-2017-8923.patch	
103	571	keep	CVE	58d68c25a26d01e992d19912f53dddf74179afd79a374b69d2f3bc7502fa8cfe	php-7.2-CVE-2017-9120.patch	
104	572	keep	CVE	f29b88ab9b64a086112b37bce1fcda49c37b16564d81b56600736076ab6443c6	php-7.3-CVE-2017-9118.patch	
105	573	keep	CVE	a0522dbfa9a750082e72d292f845c232acda97219ee0cf5d617c1a5df1036183	php-7.2-CVE-2017-9119.patch	
106	574	keep	CVE	3a089faee3d549dd728217049a7f8add5a0687b225ca0340ed2df8876df1c711	php-7.2-CVE-2025-1217_CVE-2025-1734_CVE-2025-1861.patch	
107	575	keep	CVE	2852e0b95c971c893ea413a4d89556b618eb9afdc788751b2a530d810448c7e7	php-8.0-CVE-2025-1219.patch	
108	576	keep	CVE	604d1f0e5409207b8481e3fd26b7fc119685f4713f14dae1d3efe950be1739cb	CVE-2019-19246.patch	
109	577	keep	CVE	f9470b16318ed53d9e9c3884c214f6ac6324b4f028dae0ea9f1d55842c616ff4	CVE-2019-9025.patch	
110	578	keep	CVE	ad99577138c10c88d12325654b0ee28e0f4bba31ffa84e1673c9f104416a332b	php72-CVE-2025-1220.patch	
111	579	keep	CVE	cc2e2cbf7cde55ff9b2657a81b0e31324edff8a267fffc2552737b9b5f110081	php74-CVE-2025-6491.patch	
112	580	keep	CVE	eb20f44fdacbe76e801e6bbecb936b2f7f0faa1aae918ac63401476b3b5b1068	CVE-2025-14178.patch	
113	16	skip	build/packaging	39e8a332ec572f00a63f63266e6a66db296c7b507de5c0416e99e27034c8706a	0016-Fix-libxml2-v2.15.0-compatibility.patch	build/packaging glue, not a source security/bug backport
